A1B5C8, iguana
G2F1D6, producto
G2F6D9, cielo
G2F7D5, arepa
G2F9D4, inversión
G2F9D6, computadora
G3F5D1, montaña
G3F5D2, billete
G3F6D7, empate
G3F7D5, jaguar
G3F9D1, septiembre
G4F1D8, crecimiento
G4F2D6, espíritu
G4F6D3, masa
G4F7D5, revolución
G4F7D8, plata
G4F9D2, langosta
G5F2D6, odio
G5F7D3, libélula
G5F7D8, torre
G5F9D1, terapia
G5F9D2, muerte
G6F2D5, novela
G6F8D2, sistema
G6F8D5, doctor
G6F9D1, foca
G7F2D8, internet
G7F2D9, mar
G7F3D5, ficha
G7F4D1, cielo
G7F4D1, juez
G7F4D9, cámara
G8F1D9, negro
G8F3D5, acuerdo
G8F3D7, zapato
G8F5D1, empleo
G8F5D6, psicología
G8F7D2, multiplicación
G9F1D3, higo
G9F1D6, idioma
G9F4D1, teoría
G9F5D7, serrucho
G9F6D4, selva
G9F7D8, amigo
G9F8D5, festival
G9F8D7, pie
H1J4K9, montaña
H1J5K7, carta
H1J5K9, operación
H1J7K2, castigo
H1J8K7, junio
H2J4K8, avestruz
H2J5K8, sorpresa
H2J5K9, ejército
H2J6K9, geografía
H2J7K8, párrafo
H2J8K3, otoño
H2J8K4, pijama
H2J9K4, brócoli
H2J9K8, clase
H2J9K8, salud
H3J1K5, caballero
H3J2K5, número
H3J6K8, adulto
H3J9K2, azul
H4J1K6, delfín
H4J2K6, célula
H4J8K6, beneficio
H4J9K6, ventana
H5J3K7, carnaval
H5J4K6, sociedad
H5J7K2, asteroide
H5J7K9, futuro
H5J9K3, tornillo
H6J3P8, melón
H6J5K2, mercado
H6J5K2, tienda
H6J9K4, telescopio
H7J1K3, punto
H7J2K8, río
H7J3K9, avispa
H7J5K9, estadística
H8J1K6, océano
H8J2K4, actriz
H8J2K6, pescado
H8J2K9, filosofía
H8J3K1, entrenador
H8J7K3, corazón
H9J1K7, roca
H9J4K7, ensalada
H9J7K3, norma
H9J8K1, vida
H9J8K7, diosa
J1H5K8, descubrimiento
J2H1K3, adulto
J2H3K6, fotografía
J2H3K9, comunidad
J2H6K9, mundo
J2H8K4, autobús
J2H8K5, amigo
J2H9K5, cerveza
J3H7K8, televisor
J3H8K2, fuerza
J3H9K6, agua
J3H9K6, novela
J4H2K8, país
J4H5K6, guayaba
J4H6K8, libertad
J4H6K8, libro
J4H8K6, beneficio
J4H9K6, volcán
J5H3K9, rinoceronte
J5H6K4, estatua
J5H7K1, acuerdo
J5H7K1, volumen
J5H7K2, satélite
J5H8K3, hielo
J5H9K2, boxeo
J6H1K5, división
J6H2K5, punto
J6H3K1, chaqueta
J6H4K1, rosa
J6H4K8, anaconda
J6H5K3, otoño
J6H5K4, terapia
J7H1K4, huevo
J7H2K5, jueves
J8H1K9, tarde
J8H2K7, producto
J8H4K1, molécula
J8H5K2, águila
J8H9K2, duende
J8H9K7, futuro
J9H2K5, músculo
J9H2K5, túnel
J9H3K1, cálculo
J9H4K2, fanático
J9H6K7, salud
J9H7K6, trompeta
K1L4M8, bota
K1L7M3, profesión
K1L7Q9, sandía
K1L9M5, energía
K2L4M6, boca
K2L5M1, hospital
K2L5M1, juez
K2L5M7, ciudad
K2L5M9, lince
K2L5M9, lluvia
K2L6M9, palabra
K2L7M8, pala
K2L8M6, evolución
K2L9M7, desierto
K3L1M5, abogado
K3L5M8, cielo
K3L7M1, fe
K3L7M9, cliente
K3L8M2, calamar
K4L6M7, caridad
K4L6M8, llanto
K4L8M1, grillo
K4L8M3, fracción
K4L9M2, tableta
K5L1M3, página
K5L3M2, artículo
K5L7M2, torneo
K5L8M7, celebración
K5L9M7, hierro
K6L1M2, democracia
K6L3M1, fútbol
K6L4M2, gris
K6L8M4, espada
K7L1M3, pueblo
K7L1M4, crecimiento
K7L2M8, tarjeta
K7L3M5, juego
K7L3M5, manatí
K7L3M8, género
K7L9M4, reunión
K8L2M4, vecino
K8L2M5, política
K8L3M6, taco
K8L4M1, luna
K8L6M3, ley
K9L2M4, densidad
K9L4M7, papa
K9L5M2, joystick
K9L6M3, vaca
K9L7M4, noviembre
L1K2M5, pérdida
L1K7M4, halcón
L1K8M3, flauta
L2K1M5, guerra
L2K5M4, radio
L2K5M7, noche
L2K8M7, clavel
L2K9M3, boa
L2K9M6, célula
L2K9M7, deporte
L3K6M8, plaza
L3K7M9, invento
L3K8J9, durazno
L4K1M6, karate
L4K1M8, ron
L4K2M6, mago
L4K6M7, enemigo
L4K7M1, invierno
L4K8M2, enfermedad
L5K2M7, aire
L5K2M7, papel
L5K3M8, desierto
L5K7J1, avena
L5K7M9, movimiento
L5K9M1, servicio
L6K3M8, telescopio
L6K7M8, familia
L6K8M5, fiesta
L6K9M1, bandera
L6K9M7, anciano
L7K2M4, ensayo
L7K2M4, fracción
L7K2M6, fuego
L7K5M2, estadística
L8K1M7, danza
L8K2M7, hipopótamo
L8K3M9, viernes
L8K5M7, tierra
L8K7M1, pulmón
L8K9M2, densidad
L9K2M5, pan
L9K3M2, tribunal
L9K3M8, museo
L9K4M8, victoria
L9K5M2, igualdad
L9K6M2, tren
L9K8M5, sombrero
M1N7O4, átomo
M1N7O5, templo
M1N8O6, fórmula
M2N1O7, equipo
M2N4O6, diente
M2N4O8, geometría
M2N5O3, año
M2N8O4, serie
M2N9O5, cerdo
M3N1O5, flamenco
M3N2O9, farmacia
M3N7O9, planta
M3N8O2, lechuga
M3N9O8, pasado
M4N6O2, traje
M4N6O8, crimen
M4N7O6, martillo
M4N8O2, justicia
M4N8O2, roca
M4N9O8, jazmín
M5N2O4, sopa
M5N2O6, niña
M5N2O9, infierno
M5N3O7, adulto
M5N4O2, sílaba
M6N2O5, música
M6N2O9, capital
M6N3O7, planeta
M6N4O2, abril
M6N8O3, rey
M7N2O6, fábrica
M7N2O8, bisonte
M7N5O2, igualdad
M7N8O1, sofá
M7N9O1, biología
M8N1O5, familia
M8N3O9, valor
M8N4O9, color
M8N4Z6, uva
M8N5O2, océano
M8N6O3, monarquía
M8N9O2, primavera
M9N2O5, eclipse
M9N4O7, lanzamiento
M9N5O7, insecto
M9N6O4, príncipe
M9N7O5, miedo
N1M3K5, préstamo
N1M4K7, agua
N1M5K9, suma
N1M7K8, universo
N1M8K9, niño
N1M9K5, carro
N2M4K9, universo
N2M5K9, código
N2M6B4, naranja
N2M6K3, precio
N2M7K5, párrafo
N2M8K5, reino
N2M8K6, minuto
N2M9K3, contrato
N3M6K2, escultura
N3M6K9, estación
N3M7K1, huracán
N3M8K2, rubí
N3M8K7, norma
N3M9K7, voleibol
N4M2K8, frío
N4M6K1, cocodrilo
N4M7K2, planeta
N4M7K9, yogur
N5M1K4, potencia
N5M1K6, respeto
N5M1K9, vestido
N5M2K4, lunes
N5M2K8, gallina
N5M6K9, operación
N5M7K2, salto
N5M7K8, dragón
N6M1K4, mercado
N6M1K5, piano
N6M2K1, tiempo
N6M3K9, lápiz
N6M9K4, libertad
N7M1K4, mar
N7M1K8, maíz
N7M5K3, historia
N7M5K4, piel
N7M8K1, entrenador
N8M2K4, avenida
N8M2K5, paseo
N8M4K3, lobo
N8M5K3, sociedad
N8M5K7, parque
N9M4K7, gravedad
N9M7K3, impresora
O1P3Q9, lengua
O1P7Q3, lenteja
O1P7Q4, tijera
O1P8Q7, estómago
O1P9Q2, compra
O2P4Q6, presidente
O2P5Q3, estrella
O2P5Q8, hamburguesa
O2P5Q9, hombre
O2P6Q5, animal
O3P2Q6, mujer
O3P2Q7, semana
O3P5Q7, clima
O3P7Q2, dromedario
O4P3Q8, cine
O4P6Q2, carrera
O4P6Q2, silla
O4P7Q9, ciencia
O4P9Q7, continente
O5P1Q9, margarita
O5P2Q9, río
O5P4Q7, policía
O5P7Q8, fuego
O5P9Q2, sapo
O5P9Q8, economía
O6P2Q4, sistema
O6P4Q1, submarino
O6P8Q2, independencia
O6P9Q4, teatro
O6P9Q7, guerra
O7P1Q4, tecnología
O7P2Q9, campeonato
O7P3Q6, escuela
O7P3Q9, aceleración
O7P6Q2, teoría
O8P2Q7, guante
O8P3Q6, paciente
O8P6Q1, raíz
O8P7Q5, boda
O9P3Q1, vampiro
O9P5Q7, cuervo
O9P6Q1, oficio
O9P6Q3, enero
O9P7Q4, revista
O9P8Q1, sol
P1Q3R8, liga
P1Q6R8, diciembre
P1Q7R4, café
P1Q8R6, presión
P1Q9R4, ejercicio
P2Q5R3, música
P2Q5R7, escudo
P2Q5R8, viaje
P2Q6R9, desarrollo
P2Q8R5, oveja
P3Q8R7, dictadura
P3Q9R2, tenis
P3Q9R5, escoba
P4Q1R7, trueno
P4Q7R3, pantalla
P4Q7R6, periódico
P4Q9R7, fórmula
P5Q2R6, familia
P5Q2R8, vendedor
P5Q3R6, crédito
P6Q2R8, estrella
P6Q3R8, espinaca
P6Q3R8, guepardo
P6Q3R9, cumpleaños
P6Q7R3, derecho
P6Q8R4, luz
P6Q9R8, aldea
P7Q3R5, teclado
P7Q5R1, letra
P7Q5R2, decimal
P7Q5R9, saltamontes
P7Q6R2, ley
P7Q9R1, persona
P7Q9R8, nariz
P8Q1R4, isla
P8Q2R5, amor
P8Q2R7, red
P8Q4R3, acero
P8Q4R9, abogado
P8Q7R2, baloncesto
P8Q9R6, clínica
P9Q1X4, piña
P9Q3R7, historia
P9Q4R1, capital
P9Q4R6, almeja
P9Q4R6, empresa
P9Q4R7, sol
P9Q6R2, religión
P9Q6R4, tortuga
P9Q8R1, morado
Q1R5S2, tamal
Q1R5S8, regla
Q1R6S9, cabeza
Q1R7S9, feria
Q1R8S2, microscopio
Q1R8S5, hormiga
Q2R4S6, religión
Q2R5S3, ángel
Q2R5S9, julio
Q2R6S3, guerra
Q2R7S5, mar
Q2R7S8, espejo
Q2R8S7, comunidad
Q3R7S9, calma
Q3R8S6, galaxia
Q4R1S7, enfermedad
Q4R2S8, dado
Q4R6S8, verde
Q4R7S9, comercio
Q4R9S1, mar
Q5R1S7, tigre
Q5R7S3, muerte
Q5R7S9, camarón
Q5R8S2, montaña
Q5R9S6, probabilidad
Q6R3S9, calcetín
Q6R8S3, cirugía
Q6R9S4, victoria
Q7L8M2, pera
Q7R3S9, pérdida
Q7R4S1, invierno
Q7R4S6, tuerca
Q7R5S1, reino
Q7R5S2, árbitro
Q7R9S2, escudero
Q8R1S9, tejido
Q8R2S5, cebolla
Q8R2S9, ballena
Q8R3S5, cárcel
Q8R3S5, valle
Q8R4S1, dinero
Q8R5S3, libro
Q9R1S6, director
Q9R2S5, anciano
Q9R3S7, historia
Q9R4S1, banco
Q9R6S8, suma
R1S4T6, comunidad
R1S4T7, primavera
R1S6T4, unicornio
R1S7T3, carretera
R1S8T4, acuerdo
R1S8T6, martes
R2S3T6, hueso
R2S4T8, resta
R2S4T9, lanzamiento
R2S5T8, regla
R2S5T9, mundo
R2S6T5, natación
R2S6T8, mantequilla
R2S8T3, órbita
R3Q5P9, trigo
R3S1T9, jardín
R3S6T4, niña
R3S7T5, cirugía
R3S8T4, violín
R3S8T7, serpiente
R3S9T5, espacio
R4S8T9, libro
R4S9T7, materia
R4S9T7, zafiro
R5S8T2, cámara
R5S8T2, comercio
R5T9K1, plátano
R6S2T8, moto
R6S3T8, galaxia
R6S3T9, río
R6S4T8, tormenta
R6S8T3, dato
R6S9T7, honestidad
R7S2T5, igualdad
R7S4T1, pato
R7S5T3, sonido
R8S1T7, valor
R8S2T6, árbitro
R8S3T7, mandarina
R8S5T2, bolígrafo
R8S6T3, falda
R8S7T5, dibujo
R8S7T9, álgebra
R9S2T5, refresco
R9S2T8, pasado
R9S4T1, segundo
R9S6T3, aventura
R9S7T2, interés
R9S7T5, chacal
S6T2X5, berenjena
T1U2V6, física
T1U6V2, tiempo
T1U6V9, ajo
T1U8V9, caminata
T1U9V5, democracia
T2U5V9, hospital
T2U6V1, loro
T2U8V7, profesión
T3U6V1, política
T3U6V4, lago
T3U7V5, especie
T3U7V8, mujer
T3U7V9, potencia
T3U8V1, febrero
T3U8V4, lirio
T4U6V1, aniversario
T4U7V3, salamandra
T4U9V1, galaxia
T4U9V1, pasta
T5U1V6, cinturón
T5U3V1, país
T5U3V8, ciencia
T5U7V8, zombi
T5U9V2, hospital
T5U9V6, felicidad
T6U2V5, cerebro
T6U4V7, venta
T6U5V2, palabra
T6U8V4, gravedad
T6U9V4, cebra
T7U3V5, rey
T7U4V6, luna
T7U5V2, teatro
T7U5V9, niño
T8R6M3, mango
T8U1V4, conflicto
T8U1V5, noticia
T8U2V7, cohete
T8U4V9, hipótesis
T8U5V2, estadio
T9U2V3, cárcel
T9U2V6, naturaleza
T9U3V7, mesa
T9U3V7, planta
T9U5V2, frijol
T9U5V3, carpeta
T9U6V4, torneo
U1V4W7, vida
U3V9W1, computación
U4V9W3, calabaza
U5V7W2, cultura
U7V3W9, perro
V1W3X6, cangrejo
V1W5X2, oro
V1W6X8, ahorro
V1W8X2, llave
V2W5X8, derrota
V2W6X4, mariposa
V2W6X9, nacimiento
V2W7X1, bosque
V3W5X7, órgano
V3W7X5, tiburón
V3W8X5, guion
V3W9X6, público
V4W1X2, filosofía
V4W2X6, contrato
V4W6X3, río
V4W6X8, agosto
V4W8X7, trabajo
V5W1X4, resta
V5W1X9, cortina
V5W2X4, mano
V5W3X2, medicina
V5W7X3, océano
V6W1X9, familia
V6W4X2, concierto
V6W8X9, demonio
V6W8X9, pupusa
V6W9X7, moneda
V7U2L8, papaya
V7W1X3, espiritualidad
V7W2X5, amarillo
V7W3X6, experimento
V7W9X4, cuento
V8W1X4, amor
V8W2X4, mapa
V8W2X9, materia
V8W3X5, tienda
V8W4X6, castillo
V8W7X3, oficina
V8W9X1, paz
V9W2X5, universo
V9W2X6, policía
V9W6X1, tablero
V9W6X2, león
V9W7X2, tratamiento
V9W8X3, río
W1X9Y2, coco
X1Y5Z2, cuento
X1Y8Z3, fraternidad
X1Y9Z2, nieve
X2Y6Z1, elefante
X2Y6Z5, geometría
X2Y7Z4, abrigo
X2Y8Z5, montaña
X2Y8Z7, exploración
X3Y2Z5, responsabilidad
X3Y4Z6, presente
X3Y5Z7, hada
X3Y6Z2, masa
X3Y6Z8, pollo
X3Y9Z6, ganso
X4Y8Z2, tierra
X4Y8Z6, puente
X4Y8Z9, sangre
X4Y9Z1, eclipse
X4Y9Z7, miércoles
X5Y2Z7, átomo
X5Y2Z8, esmeralda
X5Y2Z9, batería
X5Y3Z7, bicicleta
X5Y3Z9, crema
X5Y7Z1, col
X5Y7Z3, público
X5Y7Z8, joven
X5Y9Z4, diseño
X6Y1Z9, micrófono
X6Y1Z9, silencio
X6Y3Z5, mañana
X6Y4Z9, contrato
X7Y1Z8, universo
X7Y1Z9, cuaderno
X7Y2Z8, fuente
X7Y8Z4, ciclismo
X7Y9Z3, familia
X8Y2Z1, tratamiento
X8Y3Z1, gol
X8Y5Z6, flor
X8Y6Z3, vino
X9A2B3, manzana
X9Y2Z5, víbora
X9Y2Z8, verano
X9Y3Z6, tienda
X9Y3Z7, multiplicación
X9Y5Z2, costo
X9Y5Z6, sociedad
X9Y7Z5, sistema
Y1Z5X7, celular
Y1Z8X4, pantera
Y1Z9X4, banco
Y1Z9X6, división
Y2Z1X6, cobre
Y2Z4X8, nutria
Y2Z5X8, escenario
Y2Z6X8, deporte
Y2Z8X5, hipótesis
Y2Z8X6, consola
Y3Z1X5, ojo
Y3Z5X7, sol
Y3Z6X1, evento
Y3Z8X4, lengua
Y4Z6X9, correo
Y4Z6X9, volcán
Y4Z8X9, campeonato
Y4Z9X1, empanada
Y5Z1X7, economía
Y5Z3X2, enemigo
Y5Z3X7, blanco
Y5Z7X4, caballo
Y5Z7X8, volumen
Y5Z8X2, ciudad
Y6Z1X4, taladro
Y6Z4X8, granada
Y6Z8X9, tribunal
Y6Z9X1, océano
Y6Z9X2, oficio
Y6Z9X7, tribunal
Y6Z9X8, país
Y7Z1X5, pulpo
Y7Z2X9, medicina
Y8Z3X6, nacimiento
Y8Z5X2, octubre
Y8Z5X7, alma
Y8Z6X3, nube
Y8Z9X5, desarrollo
Y9Z1X8, ensayo
Y9Z2X5, fiesta
Y9Z2X6, escarabajo
Y9Z3X1, muralla
Y9Z3X2, esperanza
Y9Z4X1, especie
Y9Z5X8, independencia
Y9Z6X5, sandalia
Y9Z7X1, risa
Y9Z7X4, paciente
Y9Z8X4, servicio
Z1Y4X8, joven
Z1Y5X3, búfalo
Z1Y6X9, película
Z1Y7X3, cielo
Z1Y8X5, animal
Z1Y8X6, libertad
Z2Y5X3, ley
Z2Y5X9, estrella
Z2Y6X8, mochila
Z2Y7X5, precio
Z2Y7X9, derecho
Z3Y5X6, salto
Z3Y8X5, química
Z3Y8X7, letra
Z3Y9X5, tractor
Z3Y9X8, corbata
Z4V2N5, kiwi
Z4Y5X3, empresa
Z4Y6X2, monstruo
Z4Y7X9, estación
Z4Y9X6, arte
Z5Y1X7, órbita
Z5Y2X4, cama
Z5Y7X3, violencia
Z5Y8X2, liga
Z5Y8X2, reina
Z6Y2X7, historia
Z6Y2X7, orquídea
Z6Y3X8, universo
Z6Y4X8, iglesia
Z6Y8X1, tritón
Z7Y1X5, clínica
Z7Y2X4, dictadura
Z7Y2X9, marzo
Z7Y3X6, lasaña
Z7Y9X3, nervio
Z8Y1X3, tristeza
Z8Y1X9, mineral
Z8Y2X4, arroz
Z8Y4X1, niño
Z8Y4X9, canario
Z8Y7X2, ciudad
Z9Y1X7, cascada
Z9Y2X8, navidad
Z9Y4X2, género
Z9Y5X2, álgebra
